frame,time_s,center_x,center_y,radius_px
0,0.0,29.88524627685547,29.147541046142578,16.829586029052734
1,1e-07,30.03264045715332,29.062314987182617,16.713485717773438
2,2e-07,30.106060028076172,29.106060028076172,16.6940860748291
3,3e-07,29.78099250793457,29.07851219177246,16.8284854888916
4,4e-07,30.03525733947754,29.06730842590332,16.709510803222656
5,5e-07,30.0948543548584,29.110933303833008,16.68602180480957
6,6e-07,30.08704376220703,29.107288360595703,16.687110900878906
7,7e-07,29.921052932739258,29.210525512695312,16.77721405029297
8,8e-07,29.989625930786133,29.25103759765625,16.849594116210938
9,9e-07,30.0,29.25,16.779922485351562
10,1e-06,30.110687255859375,29.164121627807617,16.640235900878906
11,1.1e-06,30.147201538085938,29.293188095092773,16.81281089782715
12,1.2e-06,30.07796287536621,29.25259780883789,16.814952850341797
13,1.3e-06,30.08704376220703,29.107288360595703,16.687110900878906
14,1.4e-06,30.106060028076172,29.106060028076172,16.6940860748291
15,1.5e-06,30.152482986450195,29.258865356445312,16.78085708618164
16,1.6e-06,30.051301956176758,29.19678497314453,16.590978622436523
17,1.7e-06,30.18067169189453,29.29831886291504,16.159618377685547
18,1.8e-06,30.136363983154297,29.136363983154297,15.639238357543945
19,1.9e-06,30.172130584716797,29.221311569213867,15.927597999572754
20,2e-06,30.508108139038086,29.278377532958984,17.154579162597656
21,2.1e-06,30.821704864501953,29.326873779296875,17.985355377197266
22,2.2e-06,30.39285659790039,29.14285659790039,17.097396850585938
23,2.3e-06,30.352458953857422,28.849727630615234,14.804631233215332
24,2.4e-06,30.403846740722656,28.802885055541992,12.809351921081543
25,2.5e-06,29.630901336669922,28.967811584472656,14.196754455566406
26,2.6e-06,29.70093536376953,28.948598861694336,17.03383445739746
27,2.7e-06,29.808988571166992,29.37640380859375,19.276287078857422
28,2.8e-06,29.899999618530273,29.299999237060547,19.730785369873047
29,2.9e-06,29.717391967773438,28.85869598388672,18.069766998291016
30,3e-06,29.685184478759766,28.5,13.76724624633789
31,3.1e-06,30.0,28.5,11.543496131896973
32,3.2e-06,30.10126495361328,28.537975311279297,15.313152313232422
33,3.3e-06,30.69354820251465,28.822580337524414,18.435590744018555
34,3.4e-06,30.928571701049805,29.214284896850586,20.42542266845703
35,3.5e-06,30.94186019897461,29.174419403076172,20.432321548461914
36,3.6e-06,30.297664642333984,28.791828155517578,17.839189529418945
37,3.7e-06,30.5,29.404762268066406,12.684343338012695
38,3.8e-06,29.567873001098633,29.020362854003906,11.609380722045898
39,3.9e-06,29.084270477294922,29.578651428222656,15.993929862976074
40,4e-06,29.0,30.0,19.31330680847168
41,4.1e-06,29.129518508911133,30.41867446899414,20.99161720275879
