frame,time_s,center_x,center_y,radius_px
49,4.9e-06,29.94329833984375,29.31443214416504,16.110511779785156
50,5e-06,30.100000381469727,29.100000381469727,13.929206848144531
51,5.1e-06,30.32162094116211,28.864864349365234,13.685665130615234
52,5.2e-06,28.844409942626953,29.167673110961914,15.718287467956543
53,5.3e-06,29.142669677734375,29.350786209106445,17.68626594543457
54,5.4e-06,29.349489212036133,29.196428298950195,18.388553619384766
55,5.5e-06,28.87001609802246,29.7185001373291,17.529035568237305
56,5.6e-06,29.0,29.5,15.403021812438965
57,5.7e-06,29.08823585510254,29.382352828979492,13.518318176269531
58,5.8e-06,29.102149963378906,29.220430374145508,14.320358276367188
59,5.9e-06,29.5,29.5,16.507673263549805
60,6e-06,29.758869171142578,29.530223846435547,18.1064510345459
61,6.1e-06,29.922481536865234,29.428939819335938,18.247644424438477
62,6.2e-06,29.473154067993164,29.347314834594727,16.862518310546875
63,6.3e-06,29.5,29.071428298950195,14.64731216430664
64,6.4e-06,29.52083396911621,29.3125,13.584486961364746
65,6.5e-06,29.629770278930664,28.874046325683594,14.883370399475098
66,6.6e-06,29.94230842590332,29.384614944458008,17.134109497070312
67,6.7e-06,30.020423889160156,29.073373794555664,18.375978469848633
68,6.8e-06,30.160377502441406,29.028301239013672,17.94835090637207
69,6.9e-06,29.935436248779297,28.632131576538086,16.151453018188477
70,7e-06,29.96218490600586,28.43067169189453,13.97388744354248
71,7.1e-06,30.187816619873047,28.31979751586914,13.570391654968262
72,7.2e-06,29.332746505737305,28.890844345092773,15.605243682861328
73,7.3e-06,29.775482177734375,28.932506561279297,17.720294952392578
74,7.4e-06,29.695266723632812,28.825443267822266,18.43354606628418
75,7.5e-06,29.75986099243164,28.878190994262695,17.67302703857422
76,7.6e-06,29.547945022583008,28.917808532714844,15.490004539489746
77,7.7e-06,29.723403930664062,28.680850982666016,13.512413024902344
78,7.8e-06,29.904958724975586,29.52479362487793,14.0837984085083
79,7.9e-06,29.576923370361328,29.653846740722656,16.42682456970215
80,8e-06,29.5,29.441177368164062,18.149089813232422
81,8.1e-06,29.550724029541016,29.336956024169922,18.345325469970703
82,8.2e-06,29.213449478149414,29.365497589111328,17.021696090698242
83,8.3e-06,29.356287002563477,30.0508975982666,14.747804641723633
